rand_point,fid,DN,SpRasterNA,slopeRaste,sg_date,sg__gdd_p2,sg__gdd_p1,pcp0708,pcp0607,pcp0506,MinT0708,MinT0607,MinT0506,MaxT0708,MaxT0607,MaxT0506,elevationR,DistanceRo,DistanceRi,aspectRast,X,Y
15,2,"0",2.00000,0.01084,135.68733,206.48207,0.32279,79.89219,79.22937,83.97531,10.37343,8.41545,3.67453,20.97758,19.71605,14.29294,184.36270,6544.30078,24003.80078,1.84118,"677389","5413886"
16,2,"0",1.00000,0.00990,138.24176,187.69089,0.19941,77.83202,78.98049,86.14775,10.04939,7.77205,3.24529,20.14307,18.42905,13.06570,97.02792,7293.37891,59401.87891,2.97087,"764215","5354318"
17,2,"0",1.00000,0.05304,139.66693,178.50873,0.21057,102.94547,104.12050,95.24182,10.43347,8.39298,3.71185,18.27732,16.65978,12.04480,320.14316,893.80835,77300.67969,1.20324,"345769","5315687"
18,2,"0",,0.01172,139.96811,169.13503,0.14795,110.52140,119.92237,110.94265,9.95432,7.95286,3.53109,17.97593,16.15357,11.72445,282.32178,23684.27734,3645.52026,2.06757,"475870","5298125"
19,2,"0",,0.00796,139.65532,165.40483,0.09322,109.16306,118.84884,112.94193,10.08668,7.98959,3.61267,17.81479,15.95474,11.62600,267.04706,50063.12891,4282.12207,4.82350,"505527","5283022"
20,2,"0",2.00000,0.01196,141.32863,204.92239,0.43365,96.11095,92.42387,85.28835,8.84085,7.25576,2.43723,19.75474,18.69294,13.30867,461.94217,13460.04883,19400.47266,0.41884,"497423","5412672"
21,2,"0",1.00000,0.00684,134.01875,201.98174,0.17728,96.78814,92.91441,83.41373,11.55335,9.66954,4.80924,19.91787,18.53129,13.66139,37.97820,16106.12402,42776.91016,5.16396,"390468","5421363"
22,2,"0",1.00000,0.04023,140.29272,176.38739,0.12657,103.30373,104.88653,96.24767,10.34906,8.28421,3.59515,18.01873,16.37709,11.76910,311.65063,3232.65894,81950.03906,2.97190,"340910","5310500"
23,2,"0",1.00000,0.01988,136.57651,151.50258,0.00000,112.33056,125.86550,116.15320,10.90924,8.68372,4.46952,17.65078,15.35824,11.33119,40.70588,8652.67773,35949.21094,2.94280,"442661","5279623"
24,2,"0",1.00000,0.02421,137.34679,149.44949,0.02535,113.34722,127.17367,117.38094,10.73991,8.53400,4.31388,17.46742,15.21689,11.18081,93.99625,1056.58826,28237.34180,4.09537,"450687","5278417"
25,2,"0",2.00000,0.01321,134.76176,209.94862,0.35315,81.23473,81.18504,84.50131,10.47978,8.61066,3.85949,21.22066,19.97431,14.56248,159.54858,14548.76367,12368.99902,5.67576,"659392","5410825"
26,2,"0",,0.00050,133.96507,195.85226,0.22261,100.75318,103.84917,102.61264,10.23880,8.37343,3.88198,20.36417,18.94030,14.33271,180.17432,5979.27832,7725.13281,2.40425,"587168","5327593"
27,2,"0",,0.01426,140.80879,167.13722,0.08772,110.20789,115.72796,106.47691,9.98387,7.93977,3.41357,17.72026,15.92378,11.45284,367.58423,26393.61523,38602.52734,3.77458,"393745","5301073"
28,2,"0",1.00000,0.03521,143.90154,198.56136,0.42565,83.52007,79.93230,80.73318,9.37994,7.28705,2.43905,19.55994,17.94015,12.09746,144.15764,633.42627,44049.96094,2.00990,"559041","5535763"
29,2,"0",1.00000,0.05628,144.98308,179.38943,0.30165,88.71793,83.72473,73.09605,9.88206,7.74573,2.93162,17.49867,15.85583,10.76067,210.31497,16466.75781,46527.53906,5.72821,"505789","5608654"
30,2,"0",1.00000,0.01210,136.63402,150.19232,0.00129,112.87593,127.00871,117.11300,10.91655,8.69060,4.49200,17.57750,15.27654,11.27581,44.73443,2958.85400,30151.23633,4.16360,"448270","5278715"
31,2,"0",2.00000,0.01595,134.99553,213.58018,0.25746,91.43168,85.00031,75.18240,10.17820,8.50730,3.79354,21.30525,20.09696,14.71554,54.96223,3612.08301,3262.14990,5.62763,"474659","5450698"
32,2,"0",2.00000,0.00555,135.72592,201.39853,0.30466,97.06401,98.84674,96.37115,9.89933,8.15236,3.53894,20.48946,19.17725,14.28057,209.25508,9721.67773,160.13419,4.86401,"570800","5348740"
33,2,"0",2.00000,0.00567,137.06343,193.38217,0.09091,71.65179,68.40826,70.45998,10.99224,8.66321,3.93475,20.30435,18.63396,13.02886,10.74219,2575.15356,36000.84766,6.01491,"715211","5479927"
34,2,"0",2.00000,0.02184,134.74568,200.76936,0.21578,80.17821,80.97868,85.42052,10.00227,8.10846,3.54912,21.12855,19.73569,14.52087,139.70277,3212.94824,8734.45215,6.14370,"686668","5372415"
35,2,"0",2.00000,0.02631,139.52820,208.79807,0.46395,92.03196,86.73695,79.81280,9.11168,7.51187,2.72969,20.43395,19.33299,13.85979,313.55875,11438.56641,22536.62695,5.10669,"500789","5436478"
36,2,"0",1.00000,0.02331,137.84297,204.75400,0.29399,91.92746,86.63625,77.52270,9.75565,8.01257,3.30546,20.54175,19.23574,13.82414,109.82159,11167.14453,8711.93652,2.50501,"485215","5481913"
37,2,"0",,0.00559,138.70268,184.15422,0.17661,105.35323,111.36855,104.74879,9.81854,7.92965,3.40609,18.95531,17.39017,12.73791,279.61389,23185.45313,11454.17578,3.61568,"515556","5314668"
38,2,"0",2.00000,0.02704,134.35844,209.50739,0.28804,82.54109,83.05233,86.12906,10.36492,8.54734,3.83631,21.26134,20.00589,14.67863,170.23442,12554.13184,12896.25391,5.21665,"652248","5397517"
39,2,"0",2.00000,0.00288,136.60847,201.28909,0.36095,75.23007,72.13877,70.93805,10.94713,8.74673,3.97686,20.60132,19.03105,13.39198,9.33937,3360.48169,18874.00586,1.33126,"666345","5474523"
40,2,"0",2.00000,0.00470,137.36282,191.40018,0.27273,77.99925,79.48113,85.59147,9.64605,7.55419,3.02761,20.72917,19.11370,13.77165,87.55771,1924.15491,37102.00391,1.24404,"744032","5363086"
41,2,"0",,0.02147,135.70425,176.49748,0.12673,106.84850,113.47803,113.68298,10.48055,8.41186,4.08751,18.74994,17.09492,12.80063,262.23987,12422.97363,18643.98633,5.51785,"590445","5287221"
42,2,"0",1.00000,0.00491,140.07043,190.55780,0.21700,106.75473,109.36346,99.00520,9.66410,7.89574,3.20220,18.87791,17.48205,12.65682,381.21472,6451.75244,2974.50342,4.95526,"438176","5340431"
43,2,"0",2.00000,0.00583,136.83867,214.21249,0.31888,85.80469,82.44255,79.02794,9.50715,7.91912,3.12922,21.31355,20.14509,14.67767,161.86041,358.25604,98.80813,5.98262,"546136","5407133"
44,2,"0",,0.00891,141.29842,182.28392,0.25219,109.11836,112.07312,101.85867,9.61248,7.77784,3.10296,18.22166,16.76465,12.04853,438.47260,23381.79883,6227.98779,0.46663,"419793","5332480"
45,2,"0",1.00000,0.01338,146.82764,180.85023,0.39775,102.99520,98.58047,87.58653,8.88953,7.00941,2.17626,17.35982,16.00310,10.83207,528.54852,9052.88184,7821.17920,2.93187,"465795","5518325"
46,2,"0",3.00000,0.00343,134.39842,210.43802,0.28585,78.85560,77.19655,79.26756,10.84333,8.92582,4.14615,21.41928,20.04288,14.41760,64.27625,835.35840,20585.87695,6.27854,"641801","5446083"
47,2,"0",,0.00975,138.98869,149.05994,0.14965,90.18575,94.55626,104.95081,10.21573,7.79540,3.64841,17.44103,15.49576,11.26803,153.90030,3703.83691,60382.64844,0.26153,"620397","5215992"
48,2,"0",1.00000,0.01514,136.43796,180.87013,0.14495,84.59919,82.43825,88.79865,10.48394,8.12745,3.71357,19.79818,18.04024,13.01473,108.53481,202.84288,117646.62500,2.21702,"776678","5283714"
49,2,"0",1.00000,0.00228,140.05624,188.15245,0.13409,106.65312,111.47979,101.29357,9.59537,7.80176,3.18025,18.90577,17.41432,12.59767,330.07565,14370.51172,9447.53613,0.95768,"463187","5326598"
50,2,"0",1.00000,0.00256,152.42468,160.19675,0.27053,81.03656,78.18120,72.49477,7.92248,5.60405,1.47864,16.48921,14.56151,9.24919,5.53677,4347.43115,70031.99219,0.26371,"596064","5713246"
51,2,"0",3.00000,0.00191,136.89946,203.65564,0.24517,76.85956,73.08415,74.37290,10.49248,8.38362,3.59863,21.19865,19.63468,13.80503,61.74408,1393.76501,39594.97266,2.93696,"609318","5476099"
52,2,"0",,0.00768,139.30559,186.99979,0.25802,80.75880,81.10708,91.10519,10.42209,8.03222,3.52561,19.41965,17.69833,12.37080,191.96930,4356.48779,100876.19531,2.49254,"791300","5321930"
53,2,"0",2.00000,0.00723,136.76393,214.80283,0.38877,86.93985,84.44100,81.42566,9.57126,7.97727,3.19501,21.21824,20.04757,14.63983,195.78094,9996.96094,9660.84277,5.08791,"554850","5399238"
54,2,"0",2.00000,0.00567,134.88623,208.97124,0.24530,79.42906,77.53480,79.24577,10.75311,8.80937,4.04303,21.24966,19.88682,14.29554,85.05042,6347.03662,14436.42188,5.46249,"651145","5445124"
55,2,"0",3.00000,0.03428,137.81036,161.16782,0.10785,108.44531,119.44061,113.25243,10.49830,8.33153,4.01708,17.90192,15.88886,11.67037,157.25642,43050.16016,692.57947,4.88274,"496708","5276640"
56,2,"0",,0.04615,146.37923,181.89958,0.33654,106.71795,101.98121,89.90808,8.83243,7.04211,2.19390,17.33271,16.08793,10.96857,638.57037,6117.14893,21754.11133,5.62566,"444322","5492651"
57,2,"0",1.00000,0.01970,146.10909,183.63428,0.38471,102.38229,97.80917,87.31052,8.81374,6.98368,2.15770,17.70158,16.40214,11.17156,520.20380,2178.74854,3849.11621,2.48941,"469381","5506802"
58,2,"0",3.00000,0.00548,136.32762,194.38535,0.18203,71.96601,71.80109,76.73390,10.69413,8.44539,3.86029,20.71716,18.96643,13.39535,8.04510,2664.85791,46917.53516,1.02257,"740121","5442140"
59,2,"0",1.00000,0.01127,140.32901,200.41869,0.34856,102.40736,104.18098,95.10273,9.30698,7.63308,2.90685,19.51372,18.24319,13.17214,398.72983,14444.84473,3077.83545,6.06935,"482597","5350673"
60,2,"0",2.00000,0.00552,136.38481,212.14864,0.36364,88.23304,86.76912,84.89068,9.67582,8.06478,3.30033,21.08271,19.90865,14.58783,234.34534,7625.55176,26012.05078,5.46664,"571109","5390665"
61,2,"0",1.00000,0.01288,133.26651,210.58464,0.27864,81.64032,82.27636,84.83494,10.58149,8.78155,4.06890,21.57183,20.30335,14.96495,104.77220,9172.32813,8427.78809,1.05736,"648383","5399916"
62,2,"0",1.00000,0.02682,141.90686,166.06526,0.22138,106.93893,111.02272,102.99803,10.10489,7.97564,3.37237,17.54364,15.74117,11.21679,382.35339,15625.68848,76419.76563,2.12981,"352962","5292138"
63,2,"0",,0.01241,136.69641,169.82864,0.07720,105.09114,112.96880,111.26456,10.51135,8.35968,3.99246,18.43495,16.64968,12.37872,148.28345,24496.62305,11829.80176,3.79713,"554318","5282441"
64,2,"0",1.00000,0.08017,144.76825,179.89442,0.34911,92.50091,87.83916,77.57160,9.79252,7.70784,2.88173,17.60265,16.00862,10.90232,244.69975,7328.58984,11960.68164,6.06458,"486602","5574787"
65,2,"0",2.00000,0.00651,136.80646,214.78467,0.29568,85.49521,81.92892,78.41907,9.50747,7.91961,3.12915,21.35385,20.18364,14.70308,183.62872,437.88736,2492.53638,2.92148,"545027","5409351"
66,2,"0",,0.00476,139.62465,160.75975,0.10733,112.24017,123.27918,113.92048,10.16649,8.08977,3.73805,17.64767,15.67471,11.39319,251.65137,11680.22363,15015.64551,2.59379,"463800","5289278"
67,2,"0",2.00000,0.01733,137.72801,205.43077,0.30928,81.58190,78.28101,77.34159,9.81737,7.95174,3.15860,21.15556,19.74544,14.03707,74.69400,1226.12842,49038.05078,6.02673,"563421","5472899"
68,2,"0",,0.00710,137.85765,189.48582,0.36315,103.92086,108.62545,104.02773,9.82868,7.95890,3.42509,19.30762,17.82824,13.16525,274.13361,19586.76953,29375.82813,3.78481,"541127","5320664"
69,2,"0",3.00000,0.00818,133.47165,210.31570,0.29409,87.08698,87.75227,88.41010,10.30795,8.61332,3.92550,21.42476,20.16975,14.99094,146.49605,92.13451,504.45114,4.61247,"611172","5378680"
70,2,"0",2.00000,0.00429,135.71315,183.62804,0.10599,90.77902,94.56528,98.03345,9.95010,7.93173,3.54611,19.96123,18.32853,13.56480,222.45564,30957.46289,16711.17578,4.63700,"673036","5324495"
71,2,"0",1.00000,0.01151,136.66162,162.38205,0.12418,97.84933,92.64063,97.64201,10.30474,7.82228,3.54498,19.03397,17.08414,12.44263,117.48135,714.42102,129620.90625,4.16523,"766660","5232934"
72,2,"0",1.00000,0.01807,139.77296,202.52115,0.28457,83.10841,79.88387,79.44864,9.58316,7.65929,2.84825,20.63494,19.18403,13.43251,133.38213,2534.93994,60098.33594,2.44262,"560581","5488017"
73,2,"0",1.00000,0.01344,136.67079,168.12018,0.16791,91.81561,97.03225,100.48468,10.05029,7.81708,3.52972,19.12545,17.23987,12.66825,200.73811,2836.95972,36861.48828,4.61713,"692195","5299269"
74,2,"0",2.00000,0.02699,134.21475,216.68604,0.32296,81.30404,80.50285,82.31496,10.46355,8.79931,3.97497,21.62579,20.40949,14.89690,139.81154,2519.48828,8081.58447,5.02537,"611576","5418710"
75,2,"0",1.00000,0.02620,139.58026,200.89186,0.38039,103.76310,102.96400,93.00691,9.64189,7.97162,3.16348,19.35739,18.16695,13.17703,400.57455,7126.68652,21180.02344,2.84294,"440667","5370664"
76,2,"0",1.00000,0.00297,135.56772,184.59171,0.15942,105.81912,110.87749,109.54972,10.22625,8.24974,3.83250,19.33616,17.79865,13.39054,223.80949,2693.33984,2928.40576,5.79232,"579463","5304821"
77,2,"0",2.00000,0.00041,135.96840,197.87700,0.16165,74.27266,72.85954,76.18734,10.64688,8.49432,3.86112,20.74719,19.13442,13.59325,66.49545,8838.58105,36222.84375,5.35824,"717131","5448301"
78,2,"0",2.00000,0.01035,134.03183,208.22697,0.25886,84.66627,85.55946,87.98009,10.30965,8.53900,3.85949,21.28391,20.01710,14.78149,166.21555,5460.99512,13653.75391,5.41068,"641817","5384548"
79,2,"0",1.00000,0.03417,138.84431,178.54926,0.19877,104.91134,106.91428,97.78847,10.36053,8.33390,3.70603,18.34865,16.68855,12.10685,305.67255,7502.20947,61982.17188,4.57268,"361741","5312954"
80,2,"0",2.00000,0.00878,135.13443,209.31154,0.31462,81.62836,81.58831,85.07872,10.40035,8.53389,3.78496,21.13142,19.88986,14.48854,193.59074,16548.75391,13989.60840,0.10934,"659440","5409537"
81,2,"0",2.00000,0.01110,133.92545,208.73466,0.26631,86.91270,87.79296,89.21871,10.25638,8.53325,3.85497,21.27351,20.01585,14.83651,191.88950,11025.86426,4947.62402,4.00145,"622414","5379446"
82,2,"0",1.00000,0.01890,153.01120,167.28339,0.20385,86.58310,83.11064,77.77399,7.87524,5.60714,1.28522,16.53052,14.75352,9.34651,155.64516,9980.50098,66107.77344,0.59524,"582267","5695991"
83,2,"0",2.00000,0.00594,134.87172,200.83420,0.18510,75.27242,75.57505,80.82333,10.05594,8.09799,3.52827,21.27934,19.84892,14.47642,125.09617,4820.89404,6265.41113,4.68096,"706926","5389385"
84,2,"0",,0.00566,142.54805,134.17635,0.07175,103.30971,100.44887,106.10820,9.81637,7.22780,3.17695,16.51078,14.31734,10.19467,186.24626,5027.86523,150301.28125,4.82941,"765158","5185978"
85,2,"0",5.00000,0.00953,136.51279,214.18004,0.32297,81.84258,77.20557,75.79092,9.71023,8.07039,3.26821,21.48339,20.27673,14.71863,162.67235,1822.80249,7100.65088,1.73249,"566551","5430645"
86,2,"0",1.00000,0.00519,136.38940,214.51424,0.34551,84.37752,81.30090,79.97942,9.69858,8.10100,3.29836,21.32659,20.16404,14.70383,218.39664,5754.20801,10730.01563,2.24809,"573514","5411584"
87,2,"0",1.00000,0.02278,147.77942,178.33417,0.37238,93.27319,88.73118,79.65679,9.15344,7.07307,2.25961,17.06229,15.49002,10.27718,421.87863,8662.45703,23366.10742,4.65266,"502305","5586002"
88,2,"0",1.00000,0.03632,142.58069,184.65855,0.29262,86.34896,81.65410,71.48022,10.23870,8.12680,3.32190,18.13290,16.48603,11.37757,99.32166,186.10556,27165.06250,4.73684,"496250","5591104"
89,2,"0",1.00000,0.00416,136.21034,178.46301,0.17731,89.51326,84.56886,90.47269,10.28925,7.93781,3.55921,19.86094,18.08794,13.11574,137.57832,125.28799,131865.93750,5.95080,"778188","5255467"
90,2,"0",1.00000,0.06586,134.89413,216.63115,0.31327,91.52965,85.97691,76.99670,10.32015,8.65269,3.87720,21.25263,20.06411,14.73871,114.67461,8337.16602,20183.48242,5.55694,"469234","5418078"
91,2,"0",1.00000,0.00844,139.71996,175.33134,0.17657,108.81649,117.13481,108.54877,9.89494,7.93904,3.47728,18.31187,16.57734,12.05583,284.41928,32210.86133,7428.10938,3.88698,"484951","5302715"
92,2,"0",1.00000,0.02568,139.30679,202.49139,0.34570,100.01621,93.91775,82.20134,9.75198,8.05580,3.24958,19.63456,18.47492,13.24477,287.05234,523.41077,20757.83398,1.34991,"451586","5461426"
93,2,"0",1.00000,0.01536,147.00667,178.13875,0.32244,85.34354,82.52732,75.79581,9.04833,6.75739,2.11492,17.98660,16.20228,10.76849,92.24811,2623.49951,84885.29688,3.77843,"571841","5650332"
94,2,"0",2.00000,0.00629,136.84387,191.43820,0.25963,78.23094,79.63213,85.54626,9.66826,7.59397,3.09039,20.73857,19.12298,13.85138,84.55606,2523.39624,35608.28906,5.33509,"736619","5359952"
95,2,"0",,0.05141,135.07132,176.14923,0.09107,97.10269,102.81776,106.97772,10.24250,8.17570,3.91598,19.54651,17.80441,13.24221,205.91798,14284.84180,834.88568,2.12685,"650639","5292140"
96,2,"0",1.00000,0.01159,139.19487,206.60266,0.28123,97.33040,96.79584,88.97765,9.33677,7.71615,2.94575,20.13525,18.95551,13.72237,342.60165,2509.05469,4811.22510,1.26523,"497049","5376055"
97,2,"0",,0.01573,142.20578,144.03546,0.13783,100.48608,100.10201,108.02970,9.57927,7.06214,3.12143,17.26265,15.09046,10.61197,98.02695,5552.56201,180424.29688,2.78200,"797021","5179551"
98,2,"0",1.00000,0.01066,144.98682,187.69348,0.33449,102.64843,97.69343,87.15965,8.79098,7.03361,2.20975,18.08325,16.86981,11.61236,500.89072,4420.86377,9600.76074,3.14575,"468077","5489184"
99,2,"0",2.00000,0.02101,134.42596,207.88974,0.25444,78.30811,77.39271,81.62265,10.62489,8.64460,3.91297,21.26793,19.97692,14.53173,132.71231,617.80127,23204.78320,3.42395,"681196","5418470"
100,2,"0",2.00000,0.01168,135.28407,201.55576,0.35248,76.10674,76.51044,81.57652,10.05624,8.10168,3.51633,21.19743,19.79182,14.42100,130.00163,7578.75488,10410.38477,2.94206,"702279","5391601"
101,2,"0",1.00000,0.00554,138.42880,174.38914,0.18471,92.26541,88.59065,96.35725,9.94840,7.58623,3.26419,19.35883,17.58935,12.53709,204.53499,10894.73145,154234.10938,4.03831,"796780","5238399"
102,2,"0",1.00000,0.03979,146.32574,180.31097,0.31316,84.87147,81.57189,75.02699,9.21451,6.93543,2.20726,18.13399,16.34269,10.91168,118.21384,1371.34729,90343.82813,4.85155,"564120","5630935"
103,2,"0",5.00000,0.00575,135.35226,197.95961,0.15188,73.63758,73.77333,78.13632,10.58542,8.46465,3.88402,21.02588,19.37030,13.83805,51.27752,3845.03906,37522.12891,5.78508,"722343","5436452"
104,2,"0",2.00000,0.02059,134.12054,204.13377,0.26313,76.15813,76.84054,81.19659,10.22394,8.29258,3.70598,21.45499,20.06120,14.70368,91.37319,7553.72559,14623.18457,5.49252,"696711","5391730"
105,2,"0",1.00000,0.00612,137.35242,208.31241,0.32105,81.86126,77.53722,76.46402,9.68340,7.92824,3.13088,21.25698,19.95588,14.30408,132.36685,1216.33740,31300.41211,5.87606,"562959","5454459"
106,2,"0",3.00000,0.00808,137.05359,202.94090,0.27273,76.86240,73.16773,74.38471,10.48327,8.36356,3.57216,21.14087,19.56816,13.73784,50.69839,2154.12354,41499.38672,5.51234,"608431","5477534"
107,2,"0",1.00000,0.01755,137.75275,213.56778,0.41972,92.73103,91.36582,84.32301,9.56421,7.95413,3.17673,20.79079,19.60539,14.27026,239.44046,2683.71045,4596.41602,5.70103,"508051","5387373"
108,2,"0",1.00000,0.00419,137.15822,182.37265,0.22078,79.92638,82.01913,87.92172,9.93590,7.70065,3.25245,20.16921,18.41810,13.28957,103.03105,4620.13721,55874.15625,5.17152,"749271","5340316"
109,2,"0",1.00000,0.01384,143.79411,191.25861,0.36592,101.86413,96.61163,86.10870,8.88499,7.16642,2.35104,18.49305,17.32046,12.04410,490.01486,2291.37866,17546.02734,1.18601,"467174","5479729"
110,2,"0",1.00000,0.01888,137.94145,177.88332,0.27496,90.12650,86.31653,93.82757,10.08651,7.74231,3.36255,19.57161,17.83911,12.75618,230.19334,1653.07483,147041.67188,5.84635,"793314","5248968"
111,2,"0",1.00000,0.01466,141.19023,180.73190,0.20866,90.55162,85.42770,72.57674,10.71403,8.57148,3.72158,17.98476,16.32096,11.42266,62.25891,4730.02393,32618.69922,6.16407,"471531","5589646"
112,2,"0",1.00000,0.02539,138.31532,154.76445,0.08070,111.25887,123.83117,116.03501,10.51479,8.32802,4.05823,17.54535,15.42516,11.29123,166.37041,22954.14453,12504.20508,4.25375,"476401","5275688"
113,2,"0",1.00000,0.00944,141.52769,155.05083,0.19200,99.04320,96.70758,103.96547,9.45708,7.01865,2.97180,18.08257,16.07080,11.29389,165.45201,6978.31738,173034.01563,0.85467,"800115","5203017"
114,2,"0",1.00000,0.05935,136.42337,198.87656,0.27779,100.45995,98.11857,88.96135,10.91577,9.07776,4.23636,19.25940,17.93722,13.16145,165.96120,5025.02490,61014.00391,5.53552,"380993","5392652"
115,2,"0",2.00000,0.01032,135.61238,204.79933,0.27816,85.44101,86.33253,89.59647,10.02131,8.20362,3.54607,20.83802,19.56308,14.35083,247.92702,15325.71289,15274.24414,3.99424,"652365","5382105"
116,2,"0",2.00000,0.00146,136.88579,210.24976,0.38906,84.72984,84.30181,86.84633,10.01908,8.27411,3.47562,20.80634,19.61272,14.18175,288.07285,6648.50488,15208.58789,0.73533,"626631","5410978"
117,2,"0",1.00000,0.06428,140.68613,180.17897,0.27137,103.69708,104.11370,95.10204,10.20700,8.22014,3.49276,18.05514,16.52179,11.85802,396.37558,5506.57471,68351.20313,0.05626,"353528","5329996"
118,2,"0",2.00000,0.01223,138.28548,203.82231,0.28394,81.04083,77.46304,77.99973,9.88845,7.95656,3.13284,20.93621,19.50593,13.77278,93.41154,1493.13623,49889.71875,0.34501,"580407","5473478"
119,2,"0",3.00000,0.00768,135.21506,197.55663,0.21475,72.70889,73.41251,78.32712,10.58005,8.43795,3.88120,21.11149,19.41791,13.88535,6.74444,4863.75049,30464.70703,3.47914,"730649","5428209"
120,2,"0",2.00000,0.00273,139.51663,194.11795,0.22097,71.17869,70.85844,68.33013,11.06203,8.60625,3.74088,19.77715,18.03002,12.29987,18.78603,1307.87866,38247.11719,5.29312,"667878","5499350"
121,2,"0",1.00000,0.00406,135.25761,173.27997,0.07036,86.29066,84.52270,88.83660,10.58359,8.17849,3.83663,19.65906,17.80094,13.00432,19.16787,962.37183,107699.07031,0.21736,"762042","5279534"
122,2,"0",,0.00615,138.48851,175.11780,0.11216,106.76044,114.41714,108.75930,10.04066,8.03960,3.59429,18.51439,16.81193,12.34165,245.38939,39202.54297,17064.20703,5.16430,"518427","5298376"
123,2,"0",1.00000,0.01598,137.99176,153.18237,0.14912,95.15659,94.52215,96.47398,10.55770,7.98870,3.69408,18.01382,15.92312,11.53092,113.63805,44.26575,103819.80469,3.24389,"742299","5242489"
124,2,"0",1.00000,0.05248,137.56798,208.10524,0.30225,97.37164,91.61773,82.28791,10.21366,8.52223,3.64888,19.95008,18.82034,13.68075,320.76782,2099.09155,3623.85620,5.37285,"437662","5418763"
125,2,"0",2.00000,0.01622,137.62675,204.14163,0.29029,88.77085,84.01156,76.20094,9.86725,8.06195,3.37167,20.67989,19.27670,13.80869,81.65181,4710.49219,2038.18018,2.82056,"492992","5489620"
126,2,"0",2.00000,0.00479,135.50795,204.59831,0.25867,95.29263,96.67036,95.31020,9.91049,8.17990,3.55567,20.64294,19.35927,14.41216,229.49796,23338.75195,4776.18359,1.92466,"585851","5354407"
127,2,"0",,0.01092,139.53270,173.90210,0.10891,108.12604,116.09687,109.44539,9.87082,7.88719,3.43256,18.27159,16.56734,12.07447,299.78842,34778.10156,7080.52637,3.96087,"507050","5299673"
