fid,id,SpRasterNA,slopeRaste,sg_date,sg__gdd_p2,sg__gdd_p1,pcp0708,pcp0607,pcp0506,MinT0708,MinT0607,MinT0506,MaxT0708,MaxT0607,MaxT0506,elevationR,DistanceRo,DistanceRi,aspectRast
"29","28",,,,,,,,,,,,,,,,190195.65625,269532.21875,
"30","29",,0.02552,155.34779,155.21092,0.14275,105.19502,101.72877,84.04698,7.21978,5.14941,0.77711,15.54833,13.76712,8.73694,405.10425,61711.06250,77970.26563,4.76398
"31","30",,,,,,,,,,,,,,,,51312.70313,123737.57031,
"32","31",,,,,,,,,,,,,,,,160659.39063,216555.20313,
"33","32",,,,,,,,,,,,,,,,111954.34375,131123.01563,
"34","33",,,,,,,,,,,,,,,,145833.21875,198645.06250,
"35","34",,,,,,,,,,,,,,,,73002.50781,125593.09375,
"36","35",,,,,,,,,,,,,,,,192558.03125,270782.28125,
"37","36",,0.01580,146.40846,163.71519,0.05844,107.82414,99.35822,86.92586,8.92664,7.01671,2.54561,17.20550,15.21959,10.33926,74.41741,147537.10938,174581.26563,3.05922
"38","37",1.00000,,135.13733,163.26558,0.07310,88.41381,92.22822,94.23123,10.64085,8.18554,3.90465,19.07833,17.05008,12.54508,62.68090,3752.25586,75481.74219,
"39","38",,0.02587,139.36540,164.73459,0.09690,109.30359,119.10135,113.01976,10.09215,7.99553,3.62077,17.80318,15.93508,11.60957,246.74684,49630.71875,2591.41113,4.81970
"40","39",,,,,,,,,,,,,,,,64309.56641,143510.12500,
"41","40",,0.00442,138.36417,189.51707,0.31064,104.20119,109.81464,102.19764,9.87049,8.01804,3.46789,19.24411,17.69426,12.96742,236.18652,13431.29297,1776.98730,3.28206
"42","41",,,,,,,,,,,,,,,,58875.38672,101294.23438,
"43","42",1.00000,0.00495,142.04323,151.16945,0.16041,100.05462,98.18375,105.40903,9.43129,6.96791,2.96659,17.75840,15.68986,11.01482,122.53217,6110.57129,174557.51563,2.65579
"44","43",5.00000,0.00947,143.88374,197.54555,0.44815,83.32805,80.66526,82.50139,9.40279,7.28521,2.38477,19.53851,17.94566,12.09253,208.00612,5099.87988,65726.64063,5.18995
"45","44",,,,,,,,,,,,,,,,37015.60547,102535.30469,
"46","45",,,,,,,,,,,,,,,,38289.71875,56416.83594,
"47","46",,,,,,,,,,,,,,,,83380.58594,147881.42188,
"48","47",,,,,,,,,,,,,,,,55947.79297,107941.86719,
"49","48",,,,,,,,,,,,,,,,134808.07813,183955.75000,
"50","49",,,,,,,,,,,,,,,,85628.49219,134462.10938,
"51","50",,,,,,,,,,,,,,,,99487.72656,163377.14063,
"52","51",,,,,,,,,,,,,,,,16542.28125,68564.26563,
"53","52",,0.01197,148.72713,168.21385,0.07399,113.07469,104.58855,88.37183,8.32229,6.39070,1.82011,17.25185,15.39992,10.24299,236.29890,144533.32813,187862.31250,3.06962
"54","53",,,,,,,,,,,,,,,,52505.46094,145157.03125,
"55","54",,,,,,,,,,,,,,,,2994.55518,27261.24219,
"56","55",,,135.30344,154.31165,0.05195,89.33587,92.24915,92.19419,11.24819,8.61482,4.31163,18.28008,16.06135,11.76095,,6853.53076,88438.44531,
"57","56",,,,,,,,,,,,,,,,78266.25000,120944.47656,
"58","57",,,,,,,,,,,,,,,,87271.10938,133329.07813,
"59","58",,,,,,,,,,,,,,,,180180.06250,210968.50000,
"60","59",,,,,,,,,,,,,,,,138764.96875,142484.93750,
"61","60",,,,,,,,,,,,,,,,17414.95117,47002.51953,
"62","61",,,,,,,,,,,,,,,,103939.32813,167625.81250,
"63","62",,,,,,,,,,,,,,,,7623.03125,44202.08594,
"64","63",1.00000,0.01071,140.00313,143.12106,0.06061,101.85058,97.74134,103.53769,9.95331,7.39503,3.28149,17.56538,15.44134,11.10590,120.90940,9995.46387,149641.50000,4.63324
"65","64",,,,,,,,,,,,,,,,79090.85156,127299.21875,
"66","65",1.00000,,139.05869,190.85460,0.19344,74.60701,74.56836,81.52266,10.35331,7.95305,3.36329,20.01057,18.25300,12.73677,26.88369,1617.71033,52866.40234,
"67","66",,,,,,,,,,,,,,,,124009.01563,210912.53125,
"68","67",,,,,,,,,,,,,,,,133539.67188,169347.40625,
"69","68",,,,,,,,,,,,,,,,121237.46094,169592.95313,
"70","69",,,,,,,,,,,,,,,,73790.07031,97896.35938,
"71","70",,,,,,,,,,,,,,,,22519.23633,97229.80469,
"72","71",,,,,,,,,,,,,,,,132189.28125,144129.95313,
"73","72",,,,,,,,,,,,,,,,77344.14063,130479.76563,
"74","73",,,,,,,,,,,,,,,,107806.69531,129837.40625,
"75","74",1.00000,0.01381,146.14479,183.38406,0.43055,86.29646,82.02608,76.49039,9.28932,7.14741,2.41350,18.02483,16.32080,10.91806,248.99298,31998.34766,35185.15234,1.09142
"76","75",,,,,,,,,,,,,,,,173916.70313,241280.67188,
"77","76",,,,,,,,,,,,,,,,4549.20117,130648.53125,
"78","77",,,,,,,,,,,,,,,,5639.13818,8248.20020,
"79","78",3.00000,0.02182,139.64920,203.52263,0.31074,83.24452,79.52969,79.34897,9.48722,7.62822,2.80074,20.61837,19.26036,13.54785,214.27449,2471.02759,46588.41016,5.04832
"80","79",,,,,,,,,,,,,,,,87795.39844,171222.29688,
"81","80",,,,,,,,,,,,,,,,23815.91016,76406.42969,
"82","81",,,,,,,,,,,,,,,,51560.51172,116074.51563,
"83","82",1.00000,0.00503,136.59450,160.92107,0.11774,93.88069,99.86687,104.91364,10.19882,7.92676,3.74207,18.75350,16.77465,12.28360,172.96207,9555.45801,38095.27344,3.60366
"84","83",,,,,,,,,,,,,,,,126656.54688,166717.03125,
"85","84",,,,,,,,,,,,,,,,103774.11719,123449.30469,
"86","85",,,,,,,,,,,,,,,,26491.60938,65294.02734,
"87","86",2.00000,0.00298,134.11177,199.68274,0.21027,78.81791,79.53577,84.09626,10.00225,8.10258,3.58303,21.29930,19.85818,14.66109,116.45557,1722.91687,1172.82544,5.61853
"88","87",,,,,,,,,,,,,,,,20961.83008,102726.14063,
"89","88",,,,,,,,,,,,,,,,27863.35547,36643.71094,
"90","89",,,138.00000,185.92238,0.09091,96.61222,94.22566,81.67168,10.93458,8.86411,4.07112,18.93723,17.25262,12.36534,,3076.58862,12537.73828,
"91","90",,,,,,,,,,,,,,,,17384.41797,119691.72656,
"92","91",,,,,,,,,,,,,,,,21110.70508,55870.48047,
"93","92",,,,,,,,,,,,,,,,54997.65234,104864.97656,
"94","93",,,,,,,,,,,,,,,,197275.46875,245942.00000,
"95","94",1.00000,0.01761,142.74525,198.05449,0.34586,83.96191,80.29779,79.85695,9.31667,7.30467,2.51307,19.84171,18.27289,12.46898,178.45033,3508.10425,41173.15234,5.03127
"96","95",1.00000,0.01939,143.19827,198.71007,0.41343,82.87619,79.39603,80.36044,9.48517,7.39137,2.54448,19.76973,18.14629,12.29487,122.23269,1445.51550,47613.01953,6.03167
"97","96",1.00000,0.03813,139.34923,206.42230,0.30432,85.77991,81.03080,77.84834,9.25896,7.51863,2.74786,20.70175,19.42030,13.78388,188.23535,110.20659,42641.16016,2.90131
"98","97",,,,,,,,,,,,,,,,79342.41406,110940.48438,
"99","98",,0.00603,135.88776,189.13110,0.18243,94.31896,97.68970,100.44300,9.89727,7.97839,3.53579,19.99490,18.50580,13.71774,291.52731,37748.69531,5992.80811,0.96233
"100","99",,,,,,,,,,,,,,,,126621.22656,159360.04688,
"101","100",1.00000,0.02186,137.28384,205.98120,0.30021,98.24796,92.28951,81.91502,10.70629,8.92263,4.03008,19.76472,18.54476,13.44331,269.20367,3010.82764,17007.55273,6.20346
"102","101",,,,,,,,,,,,,,,,42397.11719,105354.92188,
"103","102",,,,,,,,,,,,,,,,4256.93115,28195.58789,
"104","103",,,,,,,,,,,,,,,,1786.62988,96076.65625,
"105","104",1.00000,0.01726,138.71799,185.95319,0.21003,105.09137,106.15774,96.40954,10.25696,8.35761,3.66156,18.76255,17.26256,12.57371,305.64880,9516.49707,31864.93359,0.32115
"106","105",2.00000,0.01917,134.69188,200.20654,0.24519,84.27718,85.72771,89.33346,10.04249,8.17571,3.61891,20.94760,19.56328,14.45511,186.03311,22909.51563,2763.81616,3.17559
"107","106",,,,,,,,,,,,,,,,13016.95898,137055.46875,
"108","107",,,,,,,,,,,,,,,,11864.44824,78499.30469,
"109","108",1.00000,0.00823,139.09563,204.60490,0.21892,99.69615,100.19726,91.42957,9.45169,7.80289,3.05258,19.95475,18.72330,13.58291,327.54904,8438.54688,8482.40723,2.48541
"110","109",,,,,,,,,,,,,,,,108845.99219,159503.35938,
"111","110",,,,,,,,,,,,,,,,72529.14844,128108.43750,
"112","111",,0.00410,146.77631,162.55435,0.07228,105.33260,97.03215,85.78329,8.93053,7.04704,2.58676,16.93997,14.96558,10.18600,87.13939,153409.17188,177752.95313,2.12150
"113","112",,,,,,,,,,,,,,,,55729.61328,109483.21875,
"114","113",1.00000,0.01326,139.71303,201.98636,0.30427,82.55976,79.42614,79.45702,9.70622,7.72963,2.91807,20.65097,19.14046,13.36178,108.45249,1580.63623,59042.03906,5.27075
"115","114",1.00000,0.01733,141.05238,171.93053,0.18562,110.84676,119.12520,109.69363,9.70212,7.75547,3.27705,17.94559,16.21772,11.69238,380.99329,14603.22559,10132.37109,1.54707
"116","115",,,,,,,,,,,,,,,,48022.59766,127466.00000,
"117","116",3.00000,0.04670,135.79497,164.82278,0.14545,96.48532,103.00529,110.86925,10.30839,8.10846,3.95418,18.74558,16.86176,12.43330,166.69226,17775.89648,14897.39746,5.61310
"118","117",,,,,,,,,,,,,,,,66887.44531,105319.32813,
"119","118",2.00000,0.01637,138.14847,206.64563,0.32617,81.05173,77.41947,78.38859,9.87239,8.00912,3.18053,20.95585,19.60224,13.88660,177.27180,8047.40234,36488.87500,2.61655
"120","119",3.00000,0.02141,139.05310,177.18842,0.24099,107.22618,114.94033,107.32374,9.95422,8.00354,3.53229,18.57325,16.87622,12.33264,255.72470,27571.57617,2285.49072,1.83228
"121","120",,,,,,,,,,,,,,,,108408.33594,137601.00000,
"122","121",,,,,,,,,,,,,,,,20852.13477,59671.15234,
"123","122",,0.00823,149.49377,168.02449,0.09091,110.46573,103.18927,85.78190,8.01692,6.06157,1.51612,17.30213,15.48962,10.22952,236.65335,125804.25781,149705.46875,2.31961
"124","123",,0.01537,137.98192,176.13474,0.21778,106.61201,113.25652,110.34489,10.05906,8.03446,3.60311,18.57635,16.94330,12.53133,306.32443,26820.34180,17114.90039,4.18914
"125","124",,,,,,,,,,,,,,,,13419.56543,141209.76563,
"126","125",,0.00815,146.20775,160.07654,0.03018,102.29005,93.59042,82.85764,9.18303,7.27949,2.84331,16.78378,14.76694,10.12284,19.96362,139788.84375,160566.90625,2.36066
"127","126",,,,,,,,,,,,,,,,98629.94531,147348.10938,
"128","127",1.00000,,146.38280,183.15913,0.36071,84.25939,80.66486,75.54540,9.29055,7.04433,2.30471,18.21494,16.42963,10.96130,179.08339,12649.36719,67479.53125,
"129","128",,,,,,,,,,,,,,,,230501.25000,305172.68750,
"130","129",,,,,,,,,,,,,,,,20149.85742,48600.11719,
"131","130",,,,,,,,,,,,,,,,106589.06250,129655.29688,
"132","131",,,,,,,,,,,,,,,,41353.37891,183108.96875,
"133","132",,,,,,,,,,,,,,,,97664.09375,174352.35938,
"134","133",,,,,,,,,,,,,,,,7331.43652,45419.38281,
"135","134",,0.00258,146.40286,160.78368,0.00000,103.07515,94.43603,83.65895,9.11197,7.21504,2.77683,16.81140,14.80036,10.12530,45.60912,143309.84375,164517.37500,2.69739
"136","135",,,,,,,,,,,,,,,,34258.45703,86674.33594,
"137","136",,,,,,,,,,,,,,,,81615.92188,121069.48438,
"138","137",1.00000,0.00478,149.58505,175.79903,0.38497,94.08161,89.66029,80.89314,8.85750,6.76014,1.95270,16.70660,15.13171,9.89182,454.58344,13699.14160,34320.74219,0.22316
"139","138",1.00000,0.01871,147.08202,172.47328,0.30191,90.85242,85.37318,74.20149,9.64330,7.35183,2.58959,16.98181,15.19520,10.15045,151.40714,7249.96777,77250.88281,5.36927
"140","139",,0.01390,143.11243,199.08032,0.39026,95.97218,91.47729,85.49940,8.47368,6.86577,2.04187,19.30959,18.25131,12.80574,548.09680,18630.93359,31480.89844,0.53466
"141","140",,,,,,,,,,,,,,,,91631.68750,104806.60156,
"142","141",,,,,,,,,,,,,,,,5598.32568,73346.58594,
"143","142",2.00000,0.01464,137.75804,207.12001,0.28233,80.83817,77.34891,78.54874,9.94071,8.09235,3.26347,21.01478,19.67567,13.96648,181.83983,9572.87012,30942.07422,5.51875
"144","143",,,,,,,,,,,,,,,,163283.23438,239013.20313,
"145","144",,,,,,,,,,,,,,,,27143.97461,73834.18750,
"146","145",,0.00548,146.86006,162.46202,0.06561,106.26944,97.93291,86.31581,8.89853,7.01014,2.54411,16.97620,15.00328,10.19341,81.19777,152055.81250,177449.00000,2.56354
"147","146",,,,,,,,,,,,,,,,132944.93750,183068.65625,
"148","147",2.00000,0.01020,140.45825,194.19128,0.32427,103.51202,106.48942,98.37547,9.25859,7.54270,2.86634,19.25696,17.93310,12.94736,403.01007,7278.65088,14611.31641,1.89598
"149","148",1.00000,,133.71434,198.16722,0.18098,94.69114,92.44928,84.26289,11.37957,9.37811,4.63677,20.09727,18.52610,13.74924,21.71885,435.24213,56678.44922,
"150","149",2.00000,0.02845,139.83119,205.36107,0.40819,86.52131,81.79858,78.10039,9.23482,7.48094,2.72128,20.57183,19.27414,13.63819,216.16573,2332.41675,35376.36719,2.40355
"151","150",,,,,,,,,,,,,,,,65564.00781,113765.77344,
"152","151",,,136.21069,158.82582,0.08068,93.89140,101.52607,107.07384,11.08473,8.61793,4.33601,18.00000,15.96015,11.74246,,17697.99805,49978.96094,
"153","152",,,,,,,,,,,,,,,,56250.94922,239111.85938,
"154","153",,,,,,,,,,,,,,,,28496.88867,91214.82813,
"155","154",5.00000,,135.32451,178.59695,0.16887,79.73344,81.88182,87.25224,10.35515,8.02745,3.64574,20.20942,18.36835,13.36773,,2694.94531,69917.51563,
"156","155",,,,,,,,,,,,,,,,6662.18750,83526.22656,
"157","156",1.00000,0.00602,139.24210,144.09236,0.18801,88.56692,91.92032,102.14171,10.09149,7.64553,3.56907,17.18374,15.21338,11.10273,120.62151,891.06525,65207.19531,1.36682
"158","157",,,,,,,,,,,,,,,,9512.25977,50790.32422,
"159","158",,,,,,,,,,,,,,,,115622.28906,163938.14063,
"160","159",,,,,,,,,,,,,,,,115257.07813,147785.95313,
"161","160",2.00000,0.00996,135.00311,199.16780,0.29216,97.63310,99.95930,99.69019,10.01810,8.21750,3.67387,20.43852,19.09221,14.30322,232.44188,12114.27246,15790.73633,2.44896
"162","161",,,,,,,,,,,,,,,,120029.07813,140002.18750,
"163","162",,0.00653,137.18243,170.36664,0.12638,86.31802,90.16042,93.96202,9.85893,7.61918,3.26290,19.40950,17.55039,12.84239,179.14194,11430.11328,47188.75391,3.81850
"164","163",2.00000,0.00913,135.09023,193.70583,0.18179,82.22406,83.75055,88.08753,9.87619,7.93281,3.45585,20.79703,19.28614,14.23185,170.42947,14734.43359,10043.45801,0.10868
"165","164",1.00000,0.00924,137.05453,146.80032,0.16343,86.52785,90.05877,101.68042,10.31018,7.88085,3.81852,17.65712,15.65872,11.52572,46.49685,509.14432,58648.43359,3.62732
"166","165",3.00000,0.05067,135.27063,213.77296,0.24139,93.42113,87.85967,78.70126,10.43086,8.74380,3.93514,20.90972,19.72686,14.48815,129.18929,3383.55884,16372.65918,5.72697
"167","166",,,,,,,,,,,,,,,,12561.30664,77610.78906,
"168","167",,,,,,,,,,,,,,,,8675.49512,38624.47266,
"169","168",,,,,,,,,,,,,,,,52876.12891,136618.43750,
"170","169",,0.00341,134.16261,192.08809,0.10042,99.95770,103.56245,104.16827,10.21865,8.33502,3.89816,20.18748,18.73219,14.10921,216.77551,6800.22266,9316.39063,4.48366
"171","170",,,,,,,,,,,,,,,,30136.37500,68938.03125,
"172","171",,,,,,,,,,,,,,,,31156.39453,123266.92969,
"173","172",,,,,,,,,,,,,,,,64292.03125,65129.73828,
"174","173",,,,,,,,,,,,,,,,54218.67969,92513.42188,
"175","174",,0.00592,148.69591,168.46333,0.09091,111.26421,103.43339,88.96916,8.37396,6.49788,1.92547,17.07489,15.24260,10.19001,218.89963,161583.95313,200697.70313,0.95308
"176","175",2.00000,0.00582,135.07361,203.94052,0.31855,78.58942,79.00731,83.49522,10.17902,8.25449,3.61601,21.16107,19.83001,14.47714,177.24104,2433.49023,25074.30273,1.33482
"177","176",,0.09182,141.18575,194.99873,0.33679,103.52950,98.85923,88.47345,9.89135,8.15721,3.25782,18.58927,17.43119,12.42405,492.39398,4386.08691,20937.84570,0.98698
"178","177",,,,,,,,,,,,,,,,141151.54688,157256.28125,
"179","178",,,,,,,,,,,,,,,,103487.17969,149090.93750,
"180","179",2.00000,0.00581,138.03224,203.86021,0.27751,96.22942,97.02744,92.10548,9.48141,7.81310,3.10792,20.29604,19.05431,13.93361,292.36414,15425.96973,6539.39941,2.34304
"181","180",,0.01745,139.62975,168.09053,0.11030,111.32421,119.79086,109.68048,10.09384,8.07798,3.63849,17.92332,16.05851,11.65592,281.33994,15327.89551,25788.38672,3.32504
"182","181",,,,,,,,,,,,,,,,19064.94727,10691.80957,
"183","182",,,,,,,,,,,,,,,,4597.60352,79472.00000,
"184","183",,,,,,,,,,,,,,,,4124.73975,44191.46484,
"185","184",,,,,,,,,,,,,,,,46377.58203,83685.20313,
"186","185",1.00000,0.04319,140.85655,200.47437,0.34805,83.00975,79.88434,80.33444,9.62137,7.61244,2.78408,20.37611,18.84631,13.04996,114.11480,3556.77856,59488.69141,2.62029
"187","186",2.00000,0.00047,135.09756,203.71832,0.24734,78.75297,75.19017,75.52625,10.76087,8.74606,4.01775,21.00485,19.59769,14.05151,44.14105,2347.99536,11190.29004,2.01021
"188","187",,,,,,,,,,,,,,,,67510.93750,72754.59375,
"189","188",2.00000,0.00264,136.36703,213.34468,0.41670,87.65356,85.92717,83.73968,9.68750,8.08158,3.31304,21.17333,19.99673,14.65326,218.36113,10197.13086,21847.15234,1.62479
"190","189",2.00000,0.01259,134.88345,214.06578,0.29590,79.11537,76.79594,78.66589,10.50564,8.73197,3.90971,21.62871,20.31303,14.65130,106.41414,107.58041,12696.75098,2.57809
"191","190",1.00000,0.00667,138.34099,175.33293,0.18182,91.65604,88.03181,96.08393,10.00292,7.64805,3.32462,19.41482,17.64240,12.56084,197.40599,9428.93848,157960.00000,2.35498
"192","191",5.00000,0.00485,133.59215,206.60980,0.25070,76.25532,76.24960,79.50269,10.64610,8.66500,4.00694,21.50307,20.13045,14.68495,57.75581,2600.28320,30061.26563,5.04145
"193","192",,,,,,,,,,,,,,,,167979.26563,238939.18750,
"194","193",,,,,,,,,,,,,,,,19240.88281,166526.17188,
"195","194",,,,,,,,,,,,,,,,8816.99316,67935.28125,
"196","195",,,,,,,,,,,,,,,,55267.14063,143344.95313,
"197","196",,,,,,,,,,,,,,,,74841.84375,123006.27344,
"198","197",,,,,,,,,,,,,,,,240713.93750,313759.21875,
"199","198",1.00000,0.01558,137.65948,159.28792,0.21639,95.91801,101.97453,110.71518,10.10450,7.85894,3.71527,18.21575,16.31795,11.93213,202.83913,11017.12695,24590.82617,2.78771
"200","199",1.00000,0.00859,137.92307,154.43188,0.11973,93.53600,94.16034,95.65616,10.64619,8.07199,3.77031,18.03981,15.93459,11.55031,139.85054,4918.10840,97375.78125,4.12873
"201","200",2.00000,0.02658,138.23450,205.26961,0.29112,82.41182,78.89587,77.57088,9.67620,7.83460,3.04639,21.04495,19.65684,13.95492,116.06724,3220.49536,50206.03516,2.51205
"202","201",,,,,,,,,,,,,,,,19959.98438,64154.15625,
"203","202",,,,,,,,,,,,,,,,138532.31250,190601.28125,
"204","203",,,,,,,,,,,,,,,,83725.25781,169537.89063,
"205","204",,,,,,,,,,,,,,,,52024.49219,25675.66992,
"206","205",,,,,,,,,,,,,,,,107264.25000,133479.29688,
"207","206",,,,,,,,,,,,,,,,27276.42773,86258.32031,
"208","207",,,,,,,,,,,,,,,,26501.39258,127126.32031,
"209","208",,,,,,,,,,,,,,,,68325.53906,73777.98438,
"210","209",,,,,,,,,,,,,,,,159063.00000,210071.43750,
"211","210",,,,,,,,,,,,,,,,43445.57422,95373.55469,
"212","211",,0.03910,135.19653,171.76100,0.23538,104.38547,112.06407,113.21677,10.82204,8.64311,4.35479,18.57241,16.78375,12.57283,209.61778,5179.69336,24802.59766,2.47642
"213","212",,,,,,,,,,,,,,,,16226.85254,51520.73828,
"214","213",,,,,,,,,,,,,,,,59933.21484,117136.14063,
"215","214",2.00000,0.00344,134.72710,197.35139,0.18182,87.11688,89.22330,92.45438,10.02618,8.14600,3.63251,20.73113,19.30083,14.30743,203.13391,34102.25391,9897.85449,2.01963
"216","215",,,,,,,,,,,,,,,,40147.27734,121705.90625,
"217","216",,,,,,,,,,,,,,,,96163.21094,151481.96875,
"218","217",,,,,,,,,,,,,,,,139392.64063,147867.78125,
"219","218",,,,,,,,,,,,,,,,43816.94531,132487.60938,
"220","219",,,,,,,,,,,,,,,,83712.84375,131110.25000,
"221","220",,0.03532,147.32925,165.34782,0.10671,110.22941,101.39592,84.32011,8.45257,6.43759,1.91301,17.72227,15.82451,10.57376,117.69624,114425.28906,142804.28125,1.53564
"222","221",,,,,,,,,,,,,,,,93758.39844,111040.60156,
"223","222",,,,,,,,,,,,,,,,11444.58984,19991.07617,
"224","223",1.00000,0.01657,139.76756,202.96623,0.44544,99.59547,100.50768,93.00922,9.25058,7.59798,2.86412,19.79719,18.57188,13.43149,373.30621,9092.93262,9151.65918,5.81962
"225","224",,,,,,,,,,,,,,,,105748.25781,198062.29688,
"226","225",,,,,,,,,,,,,,,,47598.00391,91057.16406,
"227","226",,,,,,,,,,,,,,,,8509.11523,62128.67969,
"228","227",3.00000,,135.83644,165.24530,0.13702,87.12924,90.34808,93.07348,10.49113,8.05192,3.75860,19.20841,17.22546,12.64124,51.84224,7349.79834,80825.83594,
"229","228",5.00000,0.01614,135.29152,183.67538,0.09862,82.69601,80.11031,86.75619,10.72590,8.38210,3.94094,20.09811,18.34641,13.25529,92.25417,459.75934,121347.52344,2.44714
"230","229",1.00000,0.00800,137.44644,177.45032,0.20168,86.64695,85.18424,91.07195,10.26890,7.89318,3.51044,19.44245,17.66225,12.73107,153.11899,3377.49829,112860.61719,4.07959
"231","230",,,142.00000,196.81818,0.45455,,,,,,,,,,,2058.64844,65648.02344,
"232","231",,,,,,,,,,,,,,,,36296.01953,76093.78906,
"233","232",1.00000,,136.20801,190.03291,0.22118,92.50421,90.35907,83.20377,11.41100,9.35879,4.59842,18.94639,17.32551,12.63533,109.06423,8073.23730,96793.19531,
"234","233",,,,,,,,,,,,,,,,26462.00195,208257.57813,
"235","234",,,,,,,,,,,,,,,,58280.74219,110943.94531,
"236","235",,,,,,,,,,,,,,,,84497.35156,160682.15625,
"237","236",3.00000,,139.04073,200.57381,0.29837,78.83317,75.85648,77.01166,10.18535,8.05046,3.20256,20.67840,19.06882,13.25685,37.14136,1839.57178,66021.05469,
"238","237",,,,,,,,,,,,,,,,4137.28467,59550.34375,
"239","238",,,,,,,,,,,,,,,,129131.61719,159565.98438,
"240","239",,,,,,,,,,,,,,,,30709.50391,52665.62500,
"241","240",,,,,,,,,,,,,,,,38854.68750,78980.06250,
"242","241",,,,,,,,,,,,,,,,54424.57422,237450.00000,
"243","242",,,,,,,,,,,,,,,,40148.16406,144091.10938,
"244","243",2.00000,0.04301,143.07535,199.76302,0.41560,99.18432,94.65609,86.69818,8.64291,7.04055,2.20919,19.11370,18.07199,12.71918,561.88525,5174.56152,20511.70898,0.15146
"245","244",,0.01880,148.62186,170.56450,0.08073,111.08511,104.01987,88.43642,8.21315,6.36206,1.73373,17.37029,15.61392,10.43424,235.65024,173934.46875,205254.76563,1.82149
"246","245",,,,,,,,,,,,,,,,150188.40625,230317.14063,
"247","246",1.00000,0.02007,135.97601,174.75722,0.09340,87.00433,84.58427,89.43657,10.45150,8.06369,3.70537,19.60408,17.77630,12.92987,56.09659,1144.12036,112118.17188,4.69163
"248","247",,,,,,,,,,,,,,,,104422.34375,156899.09375,
"249","248",,,,,,,,,,,,,,,,67758.76563,87060.28125,
